,Type,Location,Price,Bedroom,Bathrooms,Toilet
321,Self contain (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",1700000,2,1,1
322,3 bedroom flat / apartment short let,"Ikate, Lekki, Lagos",85000,3,3,3
323,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
324,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
325,Self contain (single rooms) for rent,"Salem, Ikate, Lekki, Lagos",1400000,No Info,No Info,No Info
326,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
327,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
328,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
329,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
330,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
331,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
332,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
333,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
334,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
335,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
336,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
337,1 bedroom mini flat (room and parlour) short let,"Off Admiralty Way, Ebeano Supermarket, Lekki Phase 1, Lekki, Lagos",40000,1,1,1
338,Self contain (single rooms) for rent,"Osapa London, Osapa, Lekki, Lagos",1200000,No Info,No Info,No Info
339,Self contain (single rooms) for rent,"Osapa London, Osapa, Lekki, Lagos",1200000,No Info,No Info,No Info
340,Self contain (single rooms) for rent,"Osapa London, Osapa, Lekki, Lagos",1200000,No Info,No Info,No Info
341,Self contain (single rooms) for rent,"Chevron Toll Gate, Lekki Phase 2, Lekki, Lagos",1000000,No Info,No Info,No Info
