,Type,Location,Price,Bedroom,Bathrooms,Toilet
139,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
140,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
141,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
142,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
143,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
144,4 bedroom flat / apartment for sale,"Ikeja GRA, Ikeja, Lagos",300000000,4,5,5
145,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,2,2
146,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,2,2
147,1 bedroom mini flat (room and parlour) for rent,"Bamishile Estate, Allen, Ikeja, Lagos",1500000,1,2,2
148,2 bedroom flat / apartment short let,"Wemco Road, By Domino Pizza, Agidingbi, Ikeja, Lagos",50000,2,2,3
